542schoolsUSA,Public0Privat1,Grad Program offered, total#of students,City,State,Postal code,NationalRanking,ReRanking,usnews ranking sign on Business school web?,usnews ranking mentioned on Business school  web?, AACSBLogoOnWeb,aacsb mentioned on web?,Offer UG business program?,UG tuition yearly instate,UG tuition yearly Outofstate/general,Offer MBA or Grad program,MBA tuition per credit Resident,MBA tuition per credit general/non-resident,Offer Doctoral,Hav mission on aacsb,MissionOnAACSBWeb,MissionOnschoolWeb,2missions same
Emory University,1,"Business, Law, Medicine, Nursing, Health, Science, Social Sciences and Humanities",14944,Atlanta,GA,30322,22,2,0,1,0,0,1,57120,57120,1,1546,1546,1,1,"To be the community of choice for those that want to learn, lead or educate for the purpose of improving business and society.",Our mission is to prepare principled leaders to have a positive influence on business and society.,0
Georgetown University,1,"Business, Law, Medicine, Nursing, Health, Public Affairs, Science, Social Sciences and Humanities",20245,Washington,DC,20057,22,2,0,1,0,1,1,x,62052,1,2079,2079,0,1,"Georgetown University’s McDonough School of Business prepares students to become globally minded, principled leaders ready to address the most significant challenges and opportunities facing business and society. Concurrently, the school's faculty engages in research that both creates and enhances knowledge and business practices. The student experience and faculty research are enhanced by McDonough’s location in the global capital city of Washington, D.C.; by its strong connections with scholars across our university; and by its Jesuit traditions, including caring for the whole person, being in service to others, and creating community in diversity.",To build global business knowledge and inspire ethical leaders to serve the common good.,0
New York University,1,"Busienss, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",53576,New York,NY,10012,25,2,0,0,0,0,1,58168,58168,1,2079,2079,1,1,"NYU Stern is a world-leading business school that sits at the forefront of innovation in management education, using deep industry connections and faculty excellence to develop breakthrough research and produce leaders prepared for the challenges and opportunities of the 21st century.",To produce people who can overcome the world's biggest challenges in the 21st century.,0
Boston College,1,"Business, Law, Nursing, Education, Health, Science, Social Sciences and Humanities",15074,Chestnut Hill,MA,2467,36,2,0,1,1,1,1,62950,62950,1,2012,2012,1,1,"The Carroll School of Management at Boston College ranks among the world’s leading business schools. It offers a rigorous, transformative academic experience that integrates the study of management with the liberal arts, while developing critical thinking skills and fostering ethical leadership. Part of a vibrant, Jesuit, Catholic university, the Carroll School draws inspiration and direction from our centuries-old religious and intellectual heritage. We maintain an enduring conviction that successful management education in the 21st century must combine excellence in teaching and research with reflection and action. The Carroll School educates the whole person in an atmosphere that is inclusive, ethical, caring, collaborative, and respectful of all, consistent with Boston College’s institutional mission and motto of Ever to Excel.","The Carroll School of Management at Boston College ranks among the world’s leading business schools. It offers a rigorous, transformative academic experience that integrates the study of management with the liberal arts, while developing critical thinking skills and fostering ethical leadership. Part of a vibrant, Jesuit, Catholic university, the Carroll School draws inspiration and direction from our centuries-old religious and intellectual heritage. We maintain an enduring conviction that successful management education in the 21st century must combine excellence in teaching and research with reflection and action. The Carroll School educates the whole person in an atmosphere that is inclusive, ethical, caring, collaborative, and respectful of all, consistent with Boston College’s institutional mission and motto of Ever to Excel.",0
Brandeis University,1,"Business, Public Affairs, Science, Social Sciences and Humanities",5485,Waltham,MA,2454,44,2,0,1,1,1,1,61724,61724,1,919,919,1,1,"Our mission at Brandeis International Business School is to prepare technologically sophisticated global leaders in business, economics and finance, and to produce path-breaking research that advances understanding, efficiency and justice within the business community.","Our mission at Brandeis International Business School is to prepare technologically sophisticated global leaders in business, economics and finance, and to produce path-breaking research that advances understanding, efficiency and justice within the business community.",1
Case Western Reserve University,1,"Business, Law, Medicine, Engineering, Nursing, Education, Health, Science, Social Sciences and Humanities",6277,Cleveland,OH,44106,44,2,0,1,1,1,1,64100,64100,1,1565,1565,1,1,The Weatherhead School of Management has an enduring impact on business and society through cutting edge research and innovative teaching that prepares professionals for the marketplace of the future.,Weatherhead School of Management has an enduring impact on business and society through cutting-edge research and innovative teaching that prepares professionals for the marketplace of the future.,0
Georgia Institute of Technology,0,"Business, Engineering, Public Affairs, Science, Social Sciences and Humanities",43842,Atlanta,GA,30332,44,2,0,1,0,0,1,29508,40752,1,984,1358,1,1,"The Georgia Tech Scheller College of Business shapes business and society by developing principled leaders and conducting high-impact research. We foster innovation, analytical thinking, and an entrepreneurial mindset in our graduates and all we do.",Our mission is to enable sustainability-driven innovation and sustainability integration in business and education. We create and share the knowledge that current and future leaders depend on to integrate sustainability into their…,0
Northeastern University,1,"Business, Law, Engineering, Nursing, Health, Public Affairs, Science, Social Sciences and Humanities",25283,Boston,MA,2115,44,2,0,1,1,1,1,60192,60192,1,1267,1267,0,1,We educate leaders and thinkers to be prepared for the future of work in a world being shaped by digital convergence. We contribute use-inspired thought to the global business world that empowers companies to be prepared for this future. We foster an inclusive culture of excellence that transforms lives.,We educate leaders and thinkers to be prepared for the future of work in a world being shaped by digital convergence. We contribute use-inspired thought to the global business world that empowers companies to be prepared for this future. We foster an inclusive culture of excellence that transforms lives.,1
Lehigh University,1,"Business, Engineering, Education, Science, Social Sciences and Humanities",7195,Bethlehem,PA,18015,51,3,0,0,1,1,1,61180,61180,1,1295,1295,1,1,"Lehigh University College of Business is a full complement internationally recognized business school distinguished by its intellectual thought leadership, innovative, relevant and globally oriented curriculum, diverse students and faculty, transformative student experiences across disciplinary boundaries, and generation of societal value. We strive to occupy that niche position as one of very few universities where both teaching and research are of the highest caliber. We build upon our reputation of blending theory with practice as we take our place among the most highly respected centers for business education.","Lehigh University College of Business is a full complement internationally recognized business school distinguished by its intellectual thought leadership, innovative, relevant and globally oriented curriculum, diverse students and faculty, transformative student experiences across disciplinary boundaries, and generation of societal value. We strive to occupy that niche position as one of very few universities where both teaching and research are of the highest caliber. We build upon our reputation of blending theory with practice as we take our place among the most highly respected centers for business education.",1
Purdue University--West Lafayette,0,"Business,  Engineering, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",48084,West Lafayette,IN,47907,51,3,1,1,0,1,1,9992,28794,1,540,1638,1,0,x,Cultivating skills and strategies that support Krannert students' professional development,0
Florida State University,0,"Busienss, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",42975,Tallahassee,FL,32306,55,3,0,1,1,1,1,5184,17304,1,479,1111,1,1,"We create life-changing intellectual and educational opportunities for our students and faculty, leveraging relationships among the university, alumni and the business community to help build a better society through the creation of ethical, sustainable business solutions.","We create life-changing intellectual and educational opportunities, leveraging relationships among the university, alumni and the business community to help build a better society through the creation of ethical, sustainable business solutions.",1
American University,1,"Business, Law, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",14243,Washington,DC,20016,72,3,0,1,0,1,1,53889,53889,1,1812,1812,0,1,We equip and empower the Kogod community to use business as a force for meaningful change.,"To advance knowledge, foster intellectual curiosity, build community, and empower lives of purpose, service, and leadership",0
Fordham University,1,"Busienss, Law, Education, Health, Science, Social Sciences and Humanities",16859,Bronx,NY,10458,72,3,0,1,0,1,1,49645,49645,1,1893,1893,1,1,"The Mission of the Gabelli School of Business is to inspire and empower positive global change, developing students into compassionate business leaders and supporting faculty and students in the ongoing generation of new knowledge.","The Mission of the Gabelli School of Business is to inspire and empower positive global change, developing students into compassionate business leaders and supporting faculty and students in the ongoing generation of new knowledge.",1
Indiana University Bloomington/Indianapolis,0,"Business, Law, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",48952,Bloomington,IN,47405,72,3,0,1,1,1,1,11560,39510,1,1053,1983,1,1,"The mission of the Kelley School of Business is to transform the lives of students, organizations, and society through management education, research, and service. Our aim is to:  develop a diverse body of students who are citizens of the world and who have a positive impact on their organizations and the communities in which they live; conduct and disseminate high-quality research that advances both business theory and practice; serve, directly and indirectly, through instructional and research efforts, constituents and communities at all levels of society -- local, national, and international. In fulfilling our mission, we emphasize a collaborative approach that encourages the creation of value-added partnerships among faculty, students, alumni, other universities and academic units at IU, and with private-sector and not-for-profit organizations.","The mission of the Kelley School of Business is to transform the lives of students, organizations, and society through management education, research, and service. Our aim is to:  develop a diverse body of students who are citizens of the world and who have a positive impact on their organizations and the communities in which they live; conduct and disseminate high-quality research that advances both business theory and practice; serve, directly and indirectly, through instructional and research efforts, constituents and communities at all levels of society -- local, national, and international. In fulfilling our mission, we emphasize a collaborative approach that encourages the creation of value-added partnerships among faculty, students, alumni, other universities and academic units at IU, and with private-sector and not-for-profit organizations.We also recognize that fulfillment of our mission is best served by an inclusive culture that respects faculty and student diversity in all forms.",1
Baylor University,1,"Business, Law, Engineering, Nursing, Education, Health, Science, Social Sciences and Humanities",20497,Waco,TX,76798,77,3,0,1,0,1,1,50232,50232,1,2154,2154,1,1,We cultivate principled leaders and serve the global marketplace through transformational learning and impactful scholarship in a culture of innovation guided by Christian values.,We cultivate principled leaders and serve the global marketplace through transformational learning and impactful scholarship in a culture of innovation guided by Christian values.,1
Clemson University,0,"Business, Engineering, Nursing, Education, Fine Arts, Public Affairs, Science, Social Sciences and Humanities",27031,Clemson,SC,29634,77,3,0,0,1,1,1,14118,38062,1,532,1146,1,1,The Wilbur O. and Ann Powers College of Business is committed to creating and disseminating high quality scholarship to advance the theoretical and practical knowledge relevant for today’s evolving business environment. We are committed to providing an exceptional educational experience as a foundation for students to succeed as leaders in a dynamic global economy.,The Wilbur O. and Ann Powers College of Business graduates servant leaders equipped with 21st-century skills to thrive in a dynamic global economy.,0
Loyola Marymount University,1,"Business, Law, Education",9005,Los Angeles,CA,90045,77,3,0,1,1,1,1,48172,48172,1,1450,1450,0,1,We advance knowledge and develop business leaders with moral courage and creative confidence to be a force for good in the global community.,We advance knowledge and develop business leaders with moral courage and creative confidence to be a force for good in the global community.,1
Michigan State University,0,"Business, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",45433,East Lansing,MI,48824,77,3,0,1,0,1,1,15436,42022,1,905,1517,1,1,We create and disseminate knowledge through collaborative relationships while developing transformational leaders who make business happen.,"We create and disseminate knowledge through collaboration, developing global transformational leaders who positively impact organizations and society.",0
"Binghamton University, State University of New York",0,"Business, Engineering, Nursing, Education, Health, Public Affairs, Science, Social Sciences and Humanities",18076,Binghamton,NY,13902,83,3,0,0,1,1,1,10556,28396,1,625,1016,1,1,"To create and disseminate high quality and timely management knowledge by producing rigorous and pioneering research, committing to ongoing curricular and instructional innovation, and reducing barriers to learning opportunities.","The Binghamton University School of Management is ranked among the best business schools in the nation.  We've made it our mission to keep our curriculum relevant and cutting-edge, while ensuring foundational management skills are at the core of everything we teach",0
Gonzaga University,1,"Business, Law, Nursing, Health",7381,Spokane ,WA,99258,83,3,0,1,1,1,1,52540,52540,1,1135,1135,0,1,"We develop professionally competent and intellectually currious graduates who exemplify the humansitc, ethical, and moral values of a Jesuit institution. We provide a challenging and supportive learning environment, with quality student and faculty marking our excellence. As part of a global environment, we promote relationships with regional, national, and international business and scholarly communities.","We develop professionally competent and intellectually currious graduates who exemplify the humansitc, ethical, and moral values of a Jesuit institution. We provide a challenging and supportive learning environment, with quality student and faculty marking our excellence. As part of a global environment, we promote relationships with regional, national, and international business and scholarly communities.",1
Marquette University,1,"Business, Law, Engineering, Nursing, Education, Health, Science, Social Sciences and Humanities",11163,Milwaukee,WI,53201,83,3,0,1,1,1,1,47690,47690,1,1295,1295,0,1,"To provide a world class business education defined by our distinctive Jesuit identity shaped through applied learning, collaboration, and leadership development.","It is our mission to deliver a Jesuit business education rooted in cura personalis which fosters a hunger for integrated knowledge, develops a spirit of intellectual curiosity and innovation, and instills a commitment among our students to make a meaningful impact on the world around them through professional excellence, servant leadership, and purposeful personal development. ",0
Brigham Young University-Provo,1,"Business, Law, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",36024,Provo,UT,84602,89,3,0,1,0,0,1,6304,12608,1,861,1722,0,1,"Education: Attract, develop, place, and continue to engage men and women of faith, character, and professional ability who will become outstanding leaders and positively influence a world we wish to improve. Scholarship: Advance knowledge using strong conceptual and spiritual foundations to identify and solve management problems. Service: Serve in academic, professional, and civic organizations, extending the benefits of management education and scholarship to the university, to members of The Church of Jesus Christ of Latter-day Saints, and to the world.","We develop leaders of faith, intellect, and character.",0
Elon University,1,"Business, Law, Health",7127,Elon,NC,27244,89,3,0,0,1,1,1,44536,44536,1,1083,1083,0,1,"We are leaders in the design and delivery of transformational experiences through engaged learning, excellence in teaching, mission-driven applied and pedagogical scholarship, and service, with a rigorous program of study that produces graduates able to provide principled leadership in the global community.","To be leaders in the design and delivery of transformational educational experiences through engaged learning, excellence in teaching, mission-driven applied and pedagogical scholarship, and service, with a rigorous program of study that produces graduates able to provide principled leadership in the global community.",1
Howard University,1,"Business, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",12065,Washington,DC,20059,89,3,0,0,1,1,1,32878,32878,1,1952,1952,0,1,"The mission of Howard University as a comprehensive, research-oriented, predominantly African-American university is to provide an educational experience of exceptional quality at reasonable cost to students of high academic potential. Particular emphasis is placed upon providing educational opportunities for African-American men and women, and for other historically disenfranchised groups. Furthermore, Howard University is dedicated to attracting, sustaining and developing a cadre of faculty who, through their teaching and research, are committed to producing distinguished and compassionate graduates who seek solutions to human and social problems in the United States and throughout the world.","The mission of the Howard University School of Business is to provide a comprehensive business and management education to students of high academic potential, with particular emphasis upon the provision of educational opportunities for promising African American students who may not otherwise have an opportunity to acquire an education of the type provided at Howard University. Further, the School is dedicated to attracting and sustaining a cadre of faculty who, through their teaching and research, are committed to the development of distinguished graduates and to the quest for solutions to business and management problems in the United States and throughout the world.",0
Auburn University (Harbert),0,"Business, Engineering, Nursing, Education, Health, Public Affairs, Science, Social Sciences and Humanities",31526,Auburn,AL,36849,97,3,1,1,1,1,1,11826,31986,1,420,1260,1,1,The Harbert College of Business is dedicated to producing highly-desired graduates and generating knowledge that drives diverse business thought and sustainable business practice.,The Harbert College of Business is dedicated to producing highly desired graduates and generating knowledge that drives diverse business thought and sustainable business practice. ,1
Clark University,1,"Business,  Health, Public Affairs, Science, Social Sciences and Humanities",3323,Worcester ,MA,1610,97,3,0,0,1,1,1,52000,52000,1,1588,1588,0,1,"Our mission is to engage in consequential research and practice and to prepare students for career and life success through a combination of rigorous academic study and theoretically-sound experiential learning with a focus on ethics, social responsibility and sustainability.","The Clark University School of Management prepares leaders for a lifetime of success founded on the principles of social responsibility, sustainability, and ethical business practice. We benefit society through scholarship and active engagement with the world around us.",0
Drexel University,1,"Business, Law, Medicine, Engineering, Nursing, Education, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",22572,Philadelphia,PA,19104,105,4,0,1,1,1,1,x,58965,1,1345,1345,1,1,"To shape the future of business and business education through innovative external partnerships that drive market-centric academic programs, cutting-edge research and evidence-based solutions impacting industry and society.","Drexel University’s LeBow College of Business is committed to developing the next generation of culturally competent, globally minded and innovative leaders in business and society through the institutionalization of diversity, equity and inclusion. We will advance diverse student, faculty and professional staff representation, drive equitable access to learning and experiential opportunities, and develop inclusive policies and practices. Consistent with LeBow’s mission, we strive to foster a culture of belonging founded in diverse collaborative learning, external partnerships, research and increased representation and resources for underserved populations. ",0
"Eller College of Management, The University of Arizona",0,"Business, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",49471,Tucson,AZ,85721,105,4,0,1,1,1,1,12715,36620,1,1063,1894,1,1,"The Eller College of Management’s mission it to discover and share new knowledge that shapes the future of business and to educate the next generation of responsible, global leaders who embody the changing business world and possess the knowledge and drive to impact it.","The Eller College of Management’s mission it to discover and share new knowledge that shapes the future of business and to educate the next generation of responsible, global leaders who embody the changing business world and possess the knowledge and drive to impact it.",1
"Farmer School of Business, Miami University",0,"Business, Education, Fine Arts, Health, Science, Social Sciences and Humanities",19170,Oxford,OH,45056,105,4,0,0,0,1,1,17463,38493,1,1050,1050,0,1,"We are here to support our students' success. We do this by engaging all of our stakeholders in an ecosystem that connects teaching, research and practice, and provides extraordinary experiences for all.","We are here to support our students' success. We do this by engaging all of our stakeholders in an ecosystem that connects teaching, research and practice, and provides extraordinary experiences for all.",1
Creighton University,1,"Business, Law,Medicine, Nursing, Education, Health, Science",8735,Omaha,NE,68178,115,4,1,1,1,1,1,45638,45638,1,972,972,1,1,"Guided by our Jesuit heritage, we form leaders who use their business education to promote justice and improve the world.","Creighton University exists for students and learning. Members of the Creighton community are challenged to reflect on transcendent values in an atmosphere of freedom of inquiry, belief, and religious worship. Service to others, the importance of family life, the inalienable worth of each individual, and appreciation of ethnic and cultural diversity are core values of Creighton.",0
Fairfield University,1,"Business, Nursing",5826,Fairfield,CT,6824,115,4,1,1,0,1,1,54455,54455,1,1115,1115,0,1,"Dolan is committed to the Jesuit Catholic tradition of educating the whole person (cura personalis) by fostering an engaging and diverse learning community of educational excellence and relevancy, with nationally recognized programs and innovative curricula, informed by the balanced teaching, research and service contributions of outstanding faculty and staff, and supported by local and global partnerships. We develop socially responsible, intellectually curious, ethical, compassionate global business leaders, who excel in their careers and lead meaningful lives.","The Charles F. Dolan School of Business is committed to the Jesuit Catholic tradition of educating the whole person (cura personalis) by fostering an engaging and diverse learning community of educational excellence and relevancy. We do this with nationally recognized programs and innovative curricula, informed by the balanced teaching, research, and service contributions of outstanding faculty and staff, and supported by local and global partnerships. Fairfield Dolan strives to develop socially responsible, intellectually curious, ethical, compassionate global business leaders who excel in their careers and lead meaningful lives.",0
Loyola University Chicago,1,"Law, Medicine, Nursing, Education, Health, Science, Social Sciences and Humanities",17498,Chicago,IL,60611,115,4,0,1,0,1,1,50270,50270,1,1630,1630,0,1,"We are an academic and scholarly community in a Jesuit Catholic University, inspiring intellectual curiosity, a concern for others and the common good. We prepare leaders to contribute to society through ethical, sustainable, and socially responsible conduct and to act effectively in complex organizational settings in a diverse global economy.","We are an academic and scholarly community in a Jesuit Catholic University, inspiring intellectual curiosity, a concern for others and the common good. We prepare leaders to contribute to society through ethical, sustainable, and socially responsible conduct and to act effectively in complex organizational settings in a diverse global economy.",1
Arizona State University,0,"Business, Law, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",111249,Tempe,AZ,85287,121,4,0,1,0,1,1,28720,48400,1,1535,1535,1,1,"The W. P. Carey School of Business educates tomorrow’s business leaders, takes an entrepreneurial approach to learning, and conducts groundbreaking research, in order to create positive change on a global scale.","W. P. Carey sparks positive change in business and society on a global scale by: Educating students and growing talent to enrich and lead organizations, Producing groundbreaking and impactful research, Engaging actively with business, government, communities, and our campus",0
Chapman University,1,"Business, Law, Education, Health, Science, Social Sciences and Humanities",9759,Orange,CA,92866,121,4,0,1,1,1,1,30145,30145,1,1640,1640,0,1,"The George L. Argyros School of Business and Economics develops business leaders who create value by blending economic reasoning and a global perspective with integrity, effective communication, analytical skill and individual initiative. Operating in one of the nation's most dynamic business communities, The Argyros School distinguishes itself by providing students and alumni with access to exceptional professors, scholars, and influential executives in a personalized setting.","The George L. Argyros School of Business and Economics develops business leaders who create value by blending economic reasoning and a global perspective with integrity, effective communication, analytical skill and individual initiative. Operating in one of the nation's most dynamic business communities, The Argyros School distinguishes itself by providing students and alumni with access to exceptional professors, scholars, and influential executives in a personalized setting.",1
Temple University,0,"Business, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",35900,Philadelphia,PA,19122,121,4,0,0,1,1,1,21095,35956,1,1250,1250,1,1,"Engaging in pioneering research to advance knowledge and to develop scholars through rigorous academic and practice-oriented doctoral education. Linking our education, research and outreach efforts to the driving forces of our economy, information technology, globalization, innovation, entrepreneurship, ethics, and to provide high-quality education and student services in traditional and digital learning environments. Fostering the growth of faculty and staff through professional development plans and programs. ","The Fox School of Business and Management transforms our students into responsible professionals and leaders through engagement with Fox communities committed to lifelong learning, service and the advancement of management practice.",0
